time,roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat,head,depth,distance,switch,duty
20190731_211425,-0.003610124622051171,0.015310868385070392,-0.00015084239043087157,0.0,0.0,0.0,0.0,0.0,0.0,-119.2084911488863,36.69161824122883,-71.26934971000315,"(0.9999690664280871, 0.007655210788241957, -0.0018055858079254153, -6.160046901435667e-05)",-2.8340746876549896,depth,0,0,0
20190731_211425,-0.012789815364233783,0.015433140638350698,-0.0004172512097400826,0.0,0.0,0.0,0.0,0.0,0.0,-116.34529783305835,35.48434305810306,-73.52338671458284,"(0.9999497692089077, 0.0077150016958327195, -0.006396283390219388, -0.00015926919864160164)",-2.8343602519191684,depth,0,0,0
20190731_211425,-0.02202831882732274,0.015458060316704419,-0.0006594911490358155,0.0,0.0,0.0,0.0,0.0,0.0,-115.48633983830999,34.57888667075873,-71.55110433557562,"(0.9999094514750263, 0.007724852295867835, -0.01101615558552119, -0.0002445895223127558)",-2.8379976661838056,depth,0,0,0
20190731_211425,-0.030361934114155067,0.015593123224219177,-0.0008624990305132122,0.0,0.0,0.0,0.0,0.0,0.0,-119.49481048046907,36.389799445447395,-72.11461358672054,"(0.999854339867636, 0.007789037187648258, -0.01518328301076506, -0.0003128331153488647)",-2.8320130622189565,depth,0,0,0
20190731_211425,-0.03787196151566031,0.015808133750765955,-0.0011381835751654546,0.0,0.0,0.0,0.0,0.0,0.0,-118.6358524857207,36.69161824122883,-71.83285896114808,"(0.9997894115718112, 0.007891790936924773, -0.01893875188061743, -0.0004193112251787479)",-2.8260324781322845,depth,0,0,0
20190731_211425,-0.04726405270686855,0.015900498043223,-0.0012910229724513063,0.0,0.0,0.0,0.0,0.0,0.0,-117.77689449097232,38.804349811698934,-70.42408583328577,"(0.9996890954101496, 0.00793269090161266, -0.023634205566551717, -0.00045744981605595655)",-2.8057166410772836,depth,0,0,0
20190731_211425,-0.05447209894997317,0.016161664290771625,-0.0015783457659399737,0.0,0.0,0.0,0.0,0.0,0.0,-116.63161716464116,39.40798740326183,-70.9875950844307,"(0.999596346488935, 0.00805625412119833, -0.027238159423778673, -0.00056879408622721)",-2.7960081922946363,depth,0,0,0
20190731_211426,-0.06223674425832304,0.016290616206443072,-0.0018045850724154144,0.0,0.0,0.0,0.0,0.0,0.0,-116.34529783305835,37.295255832791725,-70.70584045885823,"(0.9994825275576458, 0.00811319890755472, -0.031119651137816732, -0.000648400745800078)",-2.8103018257613317,depth,0,0,0
20190731_211426,-0.07032666357442212,0.016419061809282848,-0.0020681196248313865,0.0,0.0,0.0,0.0,0.0,0.0,-116.91793649622393,37.89889342435461,-71.26934971000315,"(0.999347920719402, 0.008168007241089702, -0.03516336620970322, -0.000744774005754541)",-2.805069056951153,depth,0,0,0
20190731_211426,-0.07794159003104822,0.016528610504324002,-0.0022992571143682456,0.0,0.0,0.0,0.0,0.0,0.0,-118.9221718173035,37.59707462857317,-71.55110433557562,"(0.9992063212803692, 0.008213141932807288, -0.03896906878668129, -0.0008267350494583533)",-2.811150786888172,depth,0,0,0
20190731_211426,-0.08554030703499456,0.01657990510360375,-0.0025827566891198496,0.0,0.0,0.0,0.0,0.0,0.0,-116.34529783305835,36.087980649665944,-74.65040521687267,"(0.9990507910596963, 0.008227055889749013, -0.04276630560447641, -0.0009357025843882668)",-2.813374273734804,depth,0,0,0
20190731_211426,-0.09348238347826829,0.016677654001670546,-0.0027975592813133648,0.0,0.0,0.0,0.0,0.0,0.0,-119.2084911488863,37.89889342435461,-73.52338671458284,"(0.9988726673205292, 0.008264260364651872, -0.04673415514493341, -0.0010075829920827709)",-2.805235723552542,depth,0,0,0
20190731_211426,-0.1003906472866323,0.016797404493856055,-0.0030579020054278157,0.0,0.0,0.0,0.0,0.0,0.0,-117.49057515938954,33.06979269185151,-71.26934971000315,"(0.9987047317172155, 0.008311304258124104, -0.05018524449634488, -0.001105577684187808)",-2.8391585862310573,depth,0,0,0
20190731_211426,-0.10759872838810991,0.01697484442283908,-0.0032775806577229434,0.0,0.0,0.0,0.0,0.0,0.0,-117.77689449097232,33.371611487632954,-70.42408583328577,"(0.998516604496038, 0.008386909024165706, -0.05378529518584126, -0.0011799680060348948)",-2.8361012112135096,depth,0,0,0
