time,roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat,head,depth,distance,switch,duty
20190731_213134,-0.0043746411442611675,0.015267941525795333,-0.000158777045554809,0.0,0.0,0.0,0.0,0.0,0.0,-43.04754894786365,-22.464865731934115,-134.38238583823417,"(0.9999684674461641, 0.007633704686282092, -0.0021878611279668317, -6.268825377195768e-05)",2.6934827782952286,depth,0,0,0
20190731_213134,-0.014289880159438585,0.015263131756694642,-0.00047983605125508316,0.0,0.0,0.0,0.0,0.0,0.0,-41.32963295836691,-21.25759054880834,-134.94589508937912,"(0.999945339813, 0.007629582651809391, -0.007146501907483979, -0.00018537882699425719)",2.6881682284043054,depth,0,0,0
20190731_213134,-0.024005698388570546,0.015297093836511741,-0.0007991479802211325,0.0,0.0,0.0,0.0,0.0,0.0,-43.04754894786365,-22.464865731934115,-134.38238583823417,"(0.9998986756448078, 0.007643125018558294, -0.012005264868608864, -0.0003077322616605789)",2.6678296613566275,depth,0,0,0
20190731_213134,-0.03351981249653926,0.015280973837748513,-0.0011209102033572786,0.0,0.0,0.0,0.0,0.0,0.0,-45.051784268943194,-22.16304693615267,-134.66414046380666,"(0.9998302865160144, 0.007629945870903293, -0.01676291133481044, -0.0004323134196908881)",2.680883503653568,depth,0,0,0
20190731_213134,-0.042889720552215,0.015367755076956934,-0.0013936416598908452,0.0,0.0,0.0,0.0,0.0,0.0,-41.90227162153249,-19.446677774119678,-134.38238583823417,"(0.9997404258372434, 0.007667091670567425, -0.02144793140364571, -0.0005318745967579836)",2.6928071906270086,depth,0,0,0
20190731_213135,-0.052095694559321074,0.01545550148659181,-0.0016862646147928692,0.0,0.0,0.0,0.0,0.0,0.0,-41.04331362678411,-20.9557717530269,-136.35466821724143,"(0.9996307396080014, 0.007703091015556293, -0.02605062815498801, -0.0006415545938445625)",2.6338510909528505,depth,0,0,0
20190731_213135,-0.06102974106015686,0.015554193031455546,-0.0019858960062462652,0.0,0.0,0.0,0.0,0.0,0.0,-44.47914560577761,-22.16304693615267,-134.66414046380666,"(0.9995039729565236, 0.0077430996972967705, -0.030516915926714263, -0.0007551778100968648)",2.6350148686583514,depth,0,0,0
20190731_213135,-0.0698286813305369,0.01561395479820701,-0.002273405596874193,0.0,0.0,0.0,0.0,0.0,0.0,-43.04754894786365,-24.275778506622775,-133.81887658708928,"(0.9993597647386961, 0.007762457241369083, -0.03491502999031867, -0.000863458029622251)",2.5577984103045743,depth,0,0,0
20190731_213135,-0.07853168036464306,0.015654106400958257,-0.0025446640638561316,0.0,0.0,0.0,0.0,0.0,0.0,-42.47491028469807,-21.25759054880834,-133.81887658708928,"(0.9991981704900671, 0.007770989083826451, -0.039264467512628645, -0.0009640585623219926)",2.5996107103128234,depth,0,0,0
20190731_213135,-0.0870614075943451,0.015669036737467244,-0.0028289915367355934,0.0,0.0,0.0,0.0,0.0,0.0,-44.47914560577761,-20.9557717530269,-139.172214472966,"(0.9990215107329564, 0.007765456096632499, -0.043526649440592556, -0.0010721813878858154)",2.6135290353171703,depth,0,0,0
